org_name,org_uuid,long_description
10X Banking,a2323b6c-29b9-4750-905c-cdcbd9ce92b8,"10x Banking (10x), a financial services technology company with a mission to move banks from monolithic to next-generation core banking solutions delivered through the world’s most comprehensive and powerful cloud native SaaS bank operating system."
10X Genomics,cf3b00cf-ffbf-0e4f-6427-a60e5060de39,10x Genomics is creating revolutionary DNA sequencing technology to help researchers better identify subtle variations that are overlooked by technologies that shred biological samples into tiny fragments before sequencing the short stretches and using computers to assembling them into a genome.
"111, Inc.",0680987f-23cd-4fa5-850c-38326fffaa36,"111,Inc. is a leading digital and mobile healthcare platform in China. By applying advanced Internet and information technology, 111,Inc. is devoted to online medical services and online pharmacy through optimized supply chain and resources. 111,Inc. aims to deliver the best and comprehensive healthcare solutions to Chinese people. The main business lines of 111,Inc. include online B2C pharmacy platform 1 Drugstore, Internet hospital 1 Clinic and online B2B pharmacy platform 1 Drug Mall. Their mission is to build the largest integrated online and offline healthcare platform in China powered by technology through the innovative model of B2B2C to realize integrating development of businesses and consumers, online and offline markets, direct sales and marketplace models, drug and medical service delivery. 111,Inc. is one of the few Unicorn enterprise in the Internet medical health industry."
17zuoye,a79a6ae8-3c74-0db7-7e6b-b4f7662d37e8,"17zuoye is an online learning platform for K-12 students as well as teachers and parents. The name means “homework together” in Chinese, and the site aims to serve as a nexus for all three groups to facilitate the educational experience, focusing on English and Math classes. 17zuoye offers a multi-platform homework solution that is in sync with the textbook curriculum and enhanced by big data analytics. 17zuoye provides the teachers with good teaching tools and comprehensive statistics, the students with interesting learning apps and individualized adaptive learning content, and the parents with immediate study reports. 17zuoye also acts as a social network for these users, having the largest real-name-based online teachers’ forum and Wechat parent community in the country."
1Komma5°,1ca6a7b3-465b-443d-9028-388cfd1ad060,"KOMMA5 ° offers all owners of electric vehicles free electricity, which we refinance through trading with so-called GHG quotas. 1KOMMA5 ° encourages to lead a self-determined and CO2-neutral life."
1inch,8e5b2628-6d2b-4f0a-9808-07c935156515,"1inch Limited builds decentralized protocols and contributes to the development of the 1inch Network. The synergy of 1inch protocols, including the 1inch Aggregation Protocol, the 1inch Liquidity Protocol and the 1inch Limit Order Protocol, enables the most lucrative, fastest and protected operations in DeFi."
360Learning,0995a94f-0661-0db6-fcae-cbb89937c945,"360Learning develops a collaborative learning solution to help companies unlock learning based on collective expertise. 360Learning offers an easy way to create, deliver, and improve courses together. The Collaborative Learning platform relies on bottom-up peer learning where anyone can elevate and respond to requests for knowledge, closing skills gaps faster. With the iterative training framework, minimum viable courses are shipped quickly and improved constantly by peers who identify out-of-date content or suggest additions. Feedback & data from interactions within the course are also pushed to coaches on the platform, who facilitate peer learning by ensuring that courses are easily accessible, actionable & impactful. From onboarding new employees to training sales reps on a new product pitch, 360Learning aligns employee aspirations with organization expectations. Our integrations into SalesForce & HR systems help leaders see how training drives business goals. Since 2012, 360Learning has transformed 1200 organizations through Collaborative Learning, including Axa, Criteo, Air Canada, Michelin, and the Red Cross."
3D Medicines,73588380-c823-48db-9139-31c17b38862b,"3D Medicines, we use individual’s genetic information to prevent, diagnose, and treat cancer. We develop personalized medicines according to target population’s genetic background, to increase efficacy and safety."
4D Molecular Therapeutics,310235fd-88ee-87dd-d394-b71762ba2431,"4D Molecular Therapeutics is a biotechnology company.The Company designs, develops, and commercializes transformative gene therapeutic products for unmet medical conditions."
4G Clinical,e94407ea-d3a5-0f75-f3d0-30ab8a43ac44,"4G Clinical provides software and services for clinical drug trials specifically in the randomization and trial supply management (RTSM) space. The solution, Prancer RTSM utilizes natural language processing alongside integrated clinical supplies forecasting and management functionality to slash development timelines, increase operational efficiencies, and offer exceptional quality. It also offers global expertise and advisory services to pharmaceutical companies and contracts research organizations. 4G Clinical was founded in 2015 and is headquartered in Wellesley, MA, USA."
4Paradigm,7ec603f5-8f92-49ba-90da-cafee6bf1d4e,"4Paradigm is an artificial intelligence technology and service provider. Fourth paradigm has a machine learning technology that can accurately predict and mine data, help enterprises improve efficiency, reduce risks, and obtain greater commercial value. The “migration learning” initiated by the fourth paradigm founding team is considered by the industry to be ''The next generation of artificial intelligence technology'', the fourth paradigm maintains the world's leading edge in the field of migration learning"
55tuan.com,06abbfcf-2fc8-9cb1-c363-451a598e401e,"55tuan is a Chinese web developer offering an e-commerce website and community platform in China.The website has a wide selection of products and services, including food, movie, wedding services, travel services, hotel, beauty and health care, and various entertainment programs. 55tuan's innovations include the unique service model of ''social commerce + local consumers.'' Its website developers pay attention to aspects such as pricing, quality, merchants, partners, and customers in order to maintain the standards of the website. As part of its expansion, 55tuan has hired its own service groups in nearly 200 cities and covered an area of 350 cities in China. The website has approximately 150,000 different brands to date, with more brands joining the site each day."
6sense,eefcef54-822a-c8c6-6a6c-482543cb7098,"6sense reinvents the way organizations create, manage, and convert pipeline to revenue. 6sense Revenue AI captures anonymous buying signals, targets the right accounts at the ideal time, and recommends the channels and messages to boost revenue performance. Removing guesswork, friction and wasted sales effort, 6sense empowers sales, marketing, and customer success teams to significantly improve pipeline quality, accelerate sales velocity, increase conversion rates, and grow revenue predictably."
908 Devices,9c3b4ae4-72af-b6d6-3f02-9c811f56fb40,"908 Devices is bringing the powerful capabilities of Mass Spectrometry out of the confines of centralized facilities and mobile laboratories. The company makes battery-operated, handheld, chemical detection tools, rugged enough to exceed military standards, and trusted enough for immediate action in the field. For biologists and chemists in need of answers, 908 Devices makes personal analyzers, small and simple enough for every workspace."
91APP,6219bd58-fae6-6c7f-726c-1b19876fa06a,"91APP is a leading omnichannel commerce solution provider in Taiwan, providing brand-own shopping app and websites for retailers."
A24,1459907b-005b-4070-a9d3-36a94d751a26,"A24 is an American independent entertainment company founded on August 20, 2012, by Daniel Katz, David Fenkel, and John Hodges and based in New York City. It specializes in film distribution, and film and television production. Katz, Fenkel and Hodges prior to A24 worked in film and production, before leaving to eventually co-found the company, originally A24 Films, which specialized in film distribution. Starting off moderately in 2013 with A Glimpse Inside the Mind of Charles Swan III, the company's growth started with the release of Spring Breakers later that year. They became better-known after picking up the U.S. rights to Ex Machina and Room, and worldwide rights to The Witch, growing substantially since then. They entered into deals with DirecTV Cinema and Amazon Prime in late 2013, with some films distributed through them, and the name was shortened to A24 in 2016. As of 2018, the company has received a total of twenty-four Academy Award nominations. In 2016, films distributed by A24 won Academy Awards for Best Actress (Brie Larson in Room), Best Documentary Feature (Amy), and Best Visual Effects (Ex Machina). In 2017, Moonlight won the Academy Award for Best Picture (the first such award for the company), Best Adapted Screenplay and Best Supporting Actor (Mahershala Ali). A24's television division released The Carmichael Show."
ABOUT YOU,c45c5d39-9cf2-4063-ac9f-a679a9f3a7e8,"ABOUT YOU is an eCommerce platform for clothing, shoes and accessories. As a fashion and technology corporation, along with their strong team, their ambition is to digitalize the classic shopping stroll by creating an inspiring and personalized shopping experience on the smartphone. This is why they created ABOUT YOU, a shopping destination where people can discover fashion that really fits their personality from a range of more than 1.200 brands. With its consistent focus on personalization, inspiration and mobile shopping, ABOUT YOU has created sales in excess of €461 million in the fifth fiscal year 2018/19 and is now one of the largest fashion e-tailers in Germany."
ACELYRIN,1bbea06c-169d-4e0b-9871-4e13f917490b,"ACELYRIN is a biopharma company focused on providing patients life-changing new treatment options by identifying, acquiring, and accelerating the development and commercialization of promising drug candidates and by leveraging its expertise to rapidly advance these medicines to patients."
ACV,2de58174-7aa2-dcf3-4af3-89f9d0f8eec6,"ACV provides a pricing application (app) for franchise dealers. It offers ACV, a mobile auction platform that enables wholesale dealers to sell trade-ins by creating app-based auctions.ACV also operates as a closing tool that enables wholesale buyers to bid for vehicles."
AEye,45ea769b-96ac-225a-623c-4ce674f7a589,"AEye is the creator of iDAR™ (Intelligent Detection and Ranging), the premier artificial perception platform for vehicle autonomy, ADAS, and robotic vision applications where safety is the priority. iDAR fuses solid-state agile LiDAR, an optional camera, and integrated AI to create a smart, software definable sensor that extracts only the data that matters - enabling fast, accurate perception. AEye has partnered with leading Tier 1s and system integrators to configure and manufacture the sensor at scale to meet the diverse performance and functional requirements of autonomous and partially automated applications.The company is based in the San Francisco Bay Area and backed by world-renowned investors including Kleiner Perkins Caufield and Byers, Taiwania Capital, Continental AG, Hella Ventures, LG Electronics, Subaru-SBI, Aisin, Intel Capital and Airbus Ventures."
AInnovation,2d21b1d6-2cd8-4960-b3fd-12536b633b9a,"AInnovation owns and operates a company that offers products and services based on artificial intelligence to different companies. Its platform uses technologies such as recognition of vision in computers, learning machines, and processing natural languages and offers advantages on efficiency and algorithm that permit companies to improve productivity and performance, enabling businesses to enhance efficiency and value and achieve digital transformation."
ALX Oncology,fb2a5c32-0917-9630-ccb5-fb65046fe3fc,"ALX Oncology is a preclinical stage biotechnology company developing innovative immuno-oncology therapies for cancer. It is an independent, private biotechnology company. The founding of Alexo Therapeutics was based upon technology invented by Aaron Ring, K. Christopher Garcia, Kipp Weiskopf, Aron Levin, and Irving Weissman at Stanford University. This discovery involves soluble versions of signal regulatory protein-α (SIRPα) that have been engineered to bind CD47 with significantly greater affinity than natural SIRPα.1."
AMP Robotics,258ced84-7c9e-3fba-8bfe-bd406c026c88,"AMP Robotics is modernizing the world’s recycling infrastructure by applying AI and automation to increase recycling rates and economically recover recyclables reclaimed as raw materials for the global supply chain. The AMP Cortex™ high-speed robotics system automates the identification and sorting of recyclables from mixed material streams. The AMP Neuron™ AI platform continuously trains itself by recognizing different colors, textures, shapes, sizes, patterns, and even brand labels to identify materials and their recyclability. Neuron then guides robots to pick and place the material to be recycled. Designed to run 24/7, all of this happens at superhuman speed with extremely high accuracy. AMP Clarity™ provides data and material characterization on what recyclables are captured and missed, helping recycling businesses and producers maximize recovery. With deployments across North America, Asia, and Europe, AMP’s technology recovers recyclables from municipal collection, precious commodities from electronic scrap, and high-value materials from construction and demolition debris."
ARRIS,5621317e-ed78-4400-b24f-1936d59ccb5b,"ARRIS is an industrial engineering company that specializes in the fields of machinery manufacturing, automotive, and aerospace. It provides next-gen composites for mass-market applications including aerospace, automotive, sports, and consumer products. The company was founded in 2017 and headquartered in Berkeley, California."
ASAPP,718691d1-edcb-e69a-c22b-5ac6110cccf7,"ASAPP AI Native® products, driven by advances in fundamental AI research, make organizations highly productive and effective by augmenting human activity and automating the world’s workflows. The ASAPP Customer Experience Performance (CXP) platform provides Contact Center customer care and sales agents with a platform to know the right thing to say and the right action to take, in real-time. The ASAPP machine learning models are continuously learning and predicting from every customer interaction, effectively turning every agent into the best agent without the need for manual programming or extensive training. Many of the world’s largest companies in telecom, financial services, and travel use the solution. The company has offices in New York, Silicon Valley, London and Buenos Aires."
ASLAN Pharmaceuticals,bae013b9-c872-2688-07af-b65f308f6ca5,ASLAN is an Asia enabled pharmaceutical company that develops novel medicines for global markets.
AST SpaceMobile,68c1b996-c37f-4663-9a8d-5e180bac356f,"AST SpaceMobile is building the first and only global broadband cellular network in space to operate directly with standard, unmodified mobile devices based on our extensive IP and patent portfolio. The company's team of engineers and space scientists are on a mission to eliminate the connectivity gaps faced by today's five billion mobile subscribers and finally bring broadband to the billions who remain unconnected. The company was founded on May 31, 2017 and is headquartered in Midland, TX. The listed name for ASTS is AST SpaceMobile, Inc. Class A Common Stock."
