org_name,org_uuid,long_description,,
.Club Domains,477b73e7-f956-955d-06c0-2dc705a7e6de,.Club Domains is a domain extension for the social world they live in. It offers a comprehensive social platform for club management.,,
0glass,0ae0c059-31ac-4979-132f-352b31a6d448,"0glass is the first high-tech company to apply Ar-smart glasses to industry and training, focusing on smart glasses and enhancing the core technology and product development. It is the provider of AR intelligent eyewear industry solutions. 0glass has the independent intellectual property rights of industrial applications such as accurate identification of images, enhance the reality of advanced technology, to become the industry's most natural human-computer interaction services, mining the most deep value of the data of artificial intelligence company. And intelligent devices, Internet of Things and cloud computing and other deep integration, to create a combination of hardware and software platform to enhance the reality of products and services",,
100offer,0cebce5a-3efc-dd27-5ce6-a42245a79cf9,"100offer is an opportunity marketplace for talented people to discover the job of their dreams. Closely guided by its professional talent consultants, users can gain access to job opportunities from leading technology companies with just one application.",,
101 Edu,934bd25a-4b91-9d78-12c3-524c679d3e69,"101 builds mobile-first teaching and assessment tools specifically for college STEM courses. Its first app, Chem101, replaces the clicker and provides tools for chemistry professors to engage their students in the classroom. Chem101 features a module that allows students to intuitively draw and visualize Lewis structures on their mobile devices. Its mobile platform enables instructors to engage students in the classroom, assign homework, and provide on-the-go reinforcement. 101 Edu was founded in 2014 and is headquartered in New York, New York.",,
17hats,c852c5d3-220d-2eb6-c78e-3c9148430ce4,"17hats has become the small business owners choice for a complete system for organizing and simplifying business, which give our users back the time they need to build a better business. 17hats is the simple business management app for solopreneurs. Its all-in-one system includes basic CRM, project management, calendaring, quotes, contracts, invoicing, time tracking and bookkeeping. With its workflow feature, users can automate many repetitive tasks.",,
1928 Diagnostics,e862bea8-d437-2370-6ccc-b117d5549e51,"1928 Diagnostics is a digital health company, crunching DNA data in the cloud, to enable healthcare providers fight antibiotic resistance. Our software service provide revolutionary outbreak tracing and diagnostics for full infection control at any hospital.",,
1939 Games,87366b68-8997-b2e3-a601-bb37ee89a1fd,"1939 Games is a indie game development studio based in Reykjavik, Iceland. They are focused on WWII gaming experiences and are currently working on a digital collectible card game that goes by the name of KARDS. The game will draw familiar elements from the card game genre and fuse them with classic WWII gaming for an elegant, action packed and fun card game. 1939 Games was founded around the KARDS project in 2015 by former CCP veterans.",,
1DOC3,474524a8-5ffa-8ef9-a4c9-3effe64e21e0,"1doc3 is a e-health platform that connects 490 million of Spanish speaking people with licensed and trusted doctors. Users find personalized answers to their health related questions. Doctors build their online reputation, find new patients and create the biggest health related questions and answers curated database in Spanish. The Platform is available via web, App, SMS and USSD, allowing the entire population to have access to a Doctor no matter where they are, or even if they don't have internet access.",,
1Drop Diagnostics,df4774f0-cfd6-e0f7-abae-0394e7c658ef,"1Drop Diagnostics is a cutting edge medical diagnostics and life science company. They combine the best techniques from microfluidics, biochemistry, photonics and information technology to build high performance point-of-care diagnostics devices. Their vision is to provide high quality medical information for everyone. They aim to increase access to quality healthcare by providing laboratory quality, easy to use, medical diagnostics in any setting. The 1Drop Diagnostics system is being developed for a broad menu of clinical applications including multiplexed assays of proteins, nucleic acids and peptides. Their first clinical applications are in the screening, diagnostics and monitoring of cardiovascular disease and infectious disease. Their mission is to improve patient lives by enabling precision medicine through non-invasive diagnostic tests providing actionable health information that is accessible to everyone at any time. They facilitate the early detection, prevention and management of disease. They empower people to live better lives.",,
1Huddle,51e4aae5-6ad5-e054-317b-7428bffd0870,"Today, companies struggle to onboard, upskill and fire-up their employees for work. At 1Huddle, our mobile game platform is the fastest way for companies to get their people ready to work. Using 1Huddle, you can quickly and easily convert existing training manuals, videos, certifications and communications into quick-burst mobile games that create competition and can be played anywhere, anytime. We have 70+ paying clients, over 20,000 users and 5M game questions (including: ESPN, Audible, ESPN, Madison Square Garden, Loews Hotels, New York Mets, FASTSIGNS, Dog Haus, and Hand and Stone Franchises). We are powering the people that power teams. Featured on Fox News, CNN, CNBC, Fox Business, Huff Post, NY Daily News, Bloomberg & The Wall Street Journal.",,
1Kubator,d2cb9430-8532-4d2a-b11e-154d51236760,"1Kubator offers training, incubation programs, acceleration programs and open innovation offers in Lyon, Bordeaux, Nantes, Rennes, Lille & Strasbourg.",,
200° Coffee,9edea293-d1b0-46c2-bfb4-104c4802c71c,ARTISAN COFFEE ROASTERS proprietors of distinctive coffee shops and unashamedly proud to be coffee geeks.,,
2ULaundry,06585e67-25d0-8d49-0d93-aa6b0a435f86,"2ULaundry delivers the most invaluable resource in the world—time. The average person devotes over 5 hours a week to laundry. Their convenient and affordable door-to-door laundry and dry cleaning service gives people more time for what matters most in their lives. Who is this service for? Everyone. Outsourced laundry and dry cleaning is currently a $23B industry and growing. No longer does the average consumer see laundry service as a luxury. Instead, they see it as a time-granting necessity. Their team consists of industry experts that obsess over the customer experience. This coupled with their static delivery routes and operating in underutilized laundromats has allowed them to achieve metrics previously unseen in the space. 95% of their customer base has in home washers and dryers. The world is demanding convenience more than ever. The opportunity is now. Remember, time is delicate.",,
2hire,868931e1-64fc-ddcd-c5fa-a79cbfcf1e24,"2hire provides a single API as a universal layer between all vehicles and their access, allowing service providers to access valuable data and remotely interact with connected vehicles.",,
2mee,2886107f-49d2-5903-19c6-95b18fa9b00f,"2mee provides patented technologies for mobile application development that bridges the divide between human and digital contact. The company's technology offers application in sectors such as sport, entertainment, education, and for FMCG brand communications The company was established in 2012, based in York, England.",,
3D Repo,d57d6ca9-0a95-3052-4b42-0a92fdb0b7bb,"3D Repo provides Designers, Architects, Engineers, and Operators with Cloud-based 3D design version control and real-time collaboration software.",,
"3DiVi, Inc.",dc2fc714-b66b-9beb-506e-8a567bacc807,"3DiVi Company is the leading 3D intelligence company focused on development of 3D computer vision solutions for applications in the new generation of gaming platforms, digital signage, and virtual reality.",,
3Diligent,499ac893-025a-a724-29fe-6dcd65cd830f,"3Diligent provides the infrastructure that delivers the world's most cutting-edge technologies and the world's finest digital-manufacturing craftsmen to meet your every rapid-manufacturing need. Leverage 3Diligent ProdEX's proprietary software, to submit an RFQ through our cloud-based, secure portal to receive project bids from pre-qualified 3D printing, CNC machining, casting, and injection-molding manufacturers. We ensure manufacturing excellence with 3Diligent Shopsight, a market-leading solution for job shops, machine shops, and service bureau operators. Designed with the modern machine shop in mind, Shopsight accommodates the unique needs of your shop with a collection of features to ensure you get the most from your digital-manufacturing assets. Founded in 2014, 3Diligent is headquartered in El Segundo, California, just south of Los Angeles International Airport and in the shadow of some of the most innovative manufacturing companies in the world.",,
3dplusme,287dea3c-d74a-4ad0-b993-6ce04d3b2e7a,"3DPlusMe provides a personalized merchandising platform for consumer 3D printing. Its platform allows fans to personalize a toy, transform into an animated character, or become their favorite hero. The company creates 3D printed physical figures as well as a digital file for virtual gaming environments. It serves customers and Fortune 50 entertainment companies in sports, gaming, and entertainment segments. The company sells its 3D printed products through retail outlets. 3DPlusMe was founded in 2012 and is based in Orem, Utah.",,
4D Healthware,7c5c85fc-d5e9-c5f4-47ef-6caf3e4e3bfe,"4D Healthware is patient engagement software that makes personalized medicine possible through connected data.  It connects the robust technology available with mobile devices, wearable sensors, and health data, allowing people to take control of their own health. It has a team of professionals from different fields with shared beliefs and a common cause, to transform the healthcare space for good, and its healthcare solutions are powered by a secure, multi-dimensional, next-generation data and technology platform. 4D Healthware is a software solution that reduces healthcare costs; consolidates, integrates, standardizes and expands the medical data available to the entire system; increases patient engagement; and encourages and rewards lifestyle change. 4D Healthware was founded in 2011 and is based in Chicago, I.L.",,
4tigo,e562ce6e-a2be-9c09-e2d1-1f2fc068e045,"We are 4TiGO, The Truck Network. We have set out on a mission to empower the Indian goods transportation industry ecosystem through technology and the power of networking. 4TiGO provides a common technology platform complemented with Business Services for each and every participant in the ecosystem. The 4TiGO Network members interact, transact and manage the entire goods transportation lifecycle and business on the platform thereby enabling a quantum leap in Productivity, Efficiency & Customer Service.",,
